Date,Open,High,Low,Close,Volume
17/05/2023 16:00:00,171.71,172.93,170.42,172.69,57951604
18/05/2023 16:00:00,173,175.24,172.58,175.05,65496657
19/05/2023 16:00:00,176.39,176.39,174.94,175.16,55809475
22/05/2023 16:00:00,173.98,174.71,173.45,174.2,43570932
23/05/2023 16:00:00,173.13,173.38,171.28,171.56,50747263
24/05/2023 16:00:00,171.09,172.42,170.52,171.84,45143488
25/05/2023 16:00:00,172.41,173.9,171.69,172.99,56058258
26/05/2023 16:00:00,173.32,175.77,173.11,175.43,54834975
30/05/2023 16:00:00,176.96,178.99,176.57,177.3,55964401
31/05/2023 16:00:00,177.33,179.35,176.76,177.25,99625288
01/06/2023 16:00:00,177.7,180.12,176.93,180.09,68901809
02/06/2023 16:00:00,181.03,181.78,179.26,180.95,61996913
05/06/2023 16:00:00,182.63,184.95,178.04,179.58,121946497
06/06/2023 16:00:00,179.97,180.12,177.43,179.21,64848374
07/06/2023 16:00:00,178.44,181.21,177.32,177.82,61944615
08/06/2023 16:00:00,177.9,180.84,177.46,180.57,50214881
09/06/2023 16:00:00,181.5,182.23,180.63,180.96,48899973
12/06/2023 16:00:00,181.27,183.89,180.97,183.79,54754995
13/06/2023 16:00:00,182.8,184.15,182.44,183.31,54929129
14/06/2023 16:00:00,183.37,184.39,182.02,183.95,57462882
15/06/2023 16:00:00,183.96,186.52,183.78,186.01,65433166
16/06/2023 16:00:00,186.73,186.99,184.27,184.92,101256225
20/06/2023 16:00:00,184.41,186.1,184.41,185.01,49799092
21/06/2023 16:00:00,184.9,185.41,182.59,183.96,49515697
22/06/2023 16:00:00,183.74,187.05,183.67,187,51245327
23/06/2023 16:00:00,185.55,187.56,185.01,186.68,53116996
26/06/2023 16:00:00,186.83,188.05,185.23,185.27,48088661
27/06/2023 16:00:00,185.89,188.39,185.67,188.06,50730846
28/06/2023 16:00:00,187.93,189.9,187.6,189.25,51216801
29/06/2023 16:00:00,189.08,190.07,188.94,189.59,46347308
30/06/2023 16:00:00,191.63,194.48,191.26,193.97,85213216
03/07/2023 13:05:00,193.78,193.88,191.76,192.46,31458198
05/07/2023 16:00:00,191.57,192.98,190.62,191.33,46920261
06/07/2023 16:00:00,189.84,192.02,189.2,191.81,45156009
07/07/2023 16:00:00,191.41,192.67,190.24,190.68,46814998
10/07/2023 16:00:00,189.26,189.99,187.04,188.61,59922163
11/07/2023 16:00:00,189.16,189.3,186.6,188.08,46638119
12/07/2023 16:00:00,189.68,191.7,188.47,189.77,60750248
13/07/2023 16:00:00,190.5,191.19,189.78,190.54,41342338
14/07/2023 16:00:00,190.23,191.18,189.63,190.69,41616242
17/07/2023 16:00:00,191.9,194.32,191.81,193.99,50520159
18/07/2023 16:00:00,193.35,194.33,192.42,193.73,48353774
19/07/2023 16:00:00,193.1,198.23,192.65,195.1,80507323
20/07/2023 16:00:00,195.09,196.47,192.5,193.13,59581196
21/07/2023 16:00:00,194.1,194.97,191.23,191.94,71951683
24/07/2023 16:00:00,193.41,194.91,192.25,192.75,45505097
25/07/2023 16:00:00,193.33,194.44,192.92,193.62,37283201
26/07/2023 16:00:00,193.67,195.64,193.32,194.5,47471868
27/07/2023 16:00:00,196.02,197.2,192.55,193.22,47460180
28/07/2023 16:00:00,194.67,196.63,194.14,195.83,48291443
31/07/2023 16:00:00,196.06,196.49,195.26,196.45,38824113
01/08/2023 16:00:00,196.24,196.73,195.28,195.61,35281426
02/08/2023 16:00:00,195.04,195.18,191.85,192.58,50389327
03/08/2023 16:00:00,191.57,192.37,190.69,191.17,62243282
04/08/2023 16:00:00,185.52,187.38,181.92,181.99,115956841
07/08/2023 16:00:00,182.13,183.13,177.35,178.85,97576069
08/08/2023 16:00:00,179.69,180.27,177.58,179.8,67823003
09/08/2023 16:00:00,180.87,180.93,177.01,178.19,60378492
10/08/2023 16:00:00,179.48,180.75,177.6,177.97,54686851
11/08/2023 16:00:00,177.32,178.62,176.55,177.79,52036672
14/08/2023 16:00:00,177.97,179.69,177.31,179.46,43675627
15/08/2023 16:00:00,178.88,179.48,177.05,177.45,43622593
16/08/2023 16:00:00,177.13,178.54,176.5,176.57,46964857
17/08/2023 16:00:00,177.14,177.51,173.48,174,66062882
18/08/2023 16:00:00,172.3,175.1,171.96,174.49,61172150
21/08/2023 16:00:00,175.07,176.13,173.74,175.84,46311879
22/08/2023 16:00:00,177.06,177.68,176.25,177.23,42084245
23/08/2023 16:00:00,178.52,181.55,178.33,181.12,52722752
24/08/2023 16:00:00,180.67,181.1,176.01,176.38,54945798
25/08/2023 16:00:00,177.38,179.15,175.82,178.61,51449594
28/08/2023 16:00:00,180.09,180.59,178.55,180.19,43820697
29/08/2023 16:00:00,179.7,184.9,179.5,184.12,53003948
30/08/2023 16:00:00,184.94,187.85,184.74,187.65,60813888
31/08/2023 16:00:00,187.84,189.12,187.48,187.87,60794467
01/09/2023 16:00:00,189.49,189.92,188.28,189.46,45766503
05/09/2023 16:00:00,188.28,189.98,187.61,189.7,45280027
06/09/2023 16:00:00,188.4,188.85,181.47,182.91,81755816
07/09/2023 16:00:00,175.18,178.21,173.54,177.56,112488803
08/09/2023 16:00:00,178.35,180.24,177.79,178.18,65602066
11/09/2023 16:00:00,180.07,180.3,177.34,179.36,58953052
12/09/2023 16:00:00,179.49,180.13,174.82,176.3,90370192
13/09/2023 16:00:00,176.51,177.3,173.98,174.21,84267928
14/09/2023 16:00:00,174,176.1,173.58,175.74,60895757
15/09/2023 16:00:00,176.48,176.5,173.82,175.01,109259461
18/09/2023 16:00:00,176.48,179.38,176.17,177.97,67257573
19/09/2023 16:00:00,177.52,179.63,177.13,179.07,51826941
20/09/2023 16:00:00,179.26,179.7,175.4,175.49,58436181
21/09/2023 16:00:00,174.55,176.3,173.86,173.93,63149116
22/09/2023 16:00:00,174.67,177.08,174.05,174.79,56725385
25/09/2023 16:00:00,174.2,176.97,174.15,176.08,46172740
